m_star, r_d, sigma_1au, sigma_rd, F_FUV, log10(m_dot)
3.000000, 250.000000, 1.000000e+04, 4.000000e+01, 1.000000e+03, -6.814401
3.000000, 150.000000, 1.000000e+04, 6.666667e+01, 1.000000e+03, -8.627187
3.000000, 100.000000, 1.000000e+04, 1.000000e+02, 1.000000e+03, -10.036619
3.000000, 80.000000, 1.000000e+04, 1.250000e+02, 1.000000e+03, -10.958736
3.000000, 60.000000, 1.000000e+04, 1.666667e+02, 1.000000e+03, -11.300933
3.000000, 40.000000, 1.000000e+04, 2.500000e+02, 1.000000e+03, -12.332217
3.000000, 20.000000, 1.000000e+04, 5.000000e+02, 1.000000e+03, -13.470773
3.000000, 10.000000, 1.000000e+04, 1.000000e+03, 1.000000e+03, -14.411601
3.000000, 5.000000, 1.000000e+04, 2.000000e+03, 1.000000e+03, -15.048899
3.000000, 500.000000, 1.000000e+05, 2.000000e+02, 1.000000e+03, -5.463198
3.000000, 250.000000, 1.000000e+05, 4.000000e+02, 1.000000e+03, -6.747244
3.000000, 150.000000, 1.000000e+05, 6.666667e+02, 1.000000e+03, -8.371846
3.000000, 100.000000, 1.000000e+05, 1.000000e+03, 1.000000e+03, -9.823439
3.000000, 80.000000, 1.000000e+05, 1.250000e+03, 1.000000e+03, -11.048399
3.000000, 60.000000, 1.000000e+05, 1.666667e+03, 1.000000e+03, -11.462126
3.000000, 40.000000, 1.000000e+05, 2.500000e+03, 1.000000e+03, -12.202384
3.000000, 20.000000, 1.000000e+05, 5.000000e+03, 1.000000e+03, -13.646285
3.000000, 10.000000, 1.000000e+05, 1.000000e+04, 1.000000e+03, -14.522739
3.000000, 5.000000, 1.000000e+05, 2.000000e+04, 1.000000e+03, -14.717912
3.000000, 500.000000, 1.000000e+00, 2.000000e-03, 1.000000e+04, -6.700676
3.000000, 250.000000, 1.000000e+00, 4.000000e-03, 1.000000e+04, -6.660183
3.000000, 150.000000, 1.000000e+00, 6.666667e-03, 1.000000e+04, -6.814725
3.000000, 100.000000, 1.000000e+00, 1.000000e-02, 1.000000e+04, -7.044393
3.000000, 80.000000, 1.000000e+00, 1.250000e-02, 1.000000e+04, -7.356598
3.000000, 60.000000, 1.000000e+00, 1.666667e-02, 1.000000e+04, -7.754414
3.000000, 40.000000, 1.000000e+00, 2.500000e-02, 1.000000e+04, -8.752842
3.000000, 20.000000, 1.000000e+00, 5.000000e-02, 1.000000e+04, -9.755989
3.000000, 10.000000, 1.000000e+00, 1.000000e-01, 1.000000e+04, -10.944591
3.000000, 5.000000, 1.000000e+00, 2.000000e-01, 1.000000e+04, -11.503238
3.000000, 500.000000, 1.000000e+01, 2.000000e-02, 1.000000e+04, -5.721156
3.000000, 250.000000, 1.000000e+01, 4.000000e-02, 1.000000e+04, -6.087093
3.000000, 150.000000, 1.000000e+01, 6.666667e-02, 1.000000e+04, -6.423320
3.000000, 100.000000, 1.000000e+01, 1.000000e-01, 1.000000e+04, -6.893380
3.000000, 80.000000, 1.000000e+01, 1.250000e-01, 1.000000e+04, -7.218645
3.000000, 60.000000, 1.000000e+01, 1.666667e-01, 1.000000e+04, -7.694835
3.000000, 40.000000, 1.000000e+01, 2.500000e-01, 1.000000e+04, -8.619674
3.000000, 20.000000, 1.000000e+01, 5.000000e-01, 1.000000e+04, -9.780869
3.000000, 10.000000, 1.000000e+01, 1.000000e+00, 1.000000e+04, -10.614371
3.000000, 5.000000, 1.000000e+01, 2.000000e+00, 1.000000e+04, -11.188208
3.000000, 500.000000, 1.000000e+02, 2.000000e-01, 1.000000e+04, -5.262600
3.000000, 250.000000, 1.000000e+02, 4.000000e-01, 1.000000e+04, -6.101958
3.000000, 150.000000, 1.000000e+02, 6.666667e-01, 1.000000e+04, -6.614831
3.000000, 100.000000, 1.000000e+02, 1.000000e+00, 1.000000e+04, -7.330692
3.000000, 80.000000, 1.000000e+02, 1.250000e+00, 1.000000e+04, -7.599878
3.000000, 60.000000, 1.000000e+02, 1.666667e+00, 1.000000e+04, -7.948550
3.000000, 40.000000, 1.000000e+02, 2.500000e+00, 1.000000e+04, -8.578697
3.000000, 20.000000, 1.000000e+02, 5.000000e+00, 1.000000e+04, -9.591660
3.000000, 10.000000, 1.000000e+02, 1.000000e+01, 1.000000e+04, -10.582461
3.000000, 5.000000, 1.000000e+02, 2.000000e+01, 1.000000e+04, -10.885413
3.000000, 500.000000, 1.000000e+03, 2.000000e+00, 1.000000e+04, -5.729887
3.000000, 250.000000, 1.000000e+03, 4.000000e+00, 1.000000e+04, -6.199482
3.000000, 150.000000, 1.000000e+03, 6.666667e+00, 1.000000e+04, -6.591350
3.000000, 100.000000, 1.000000e+03, 1.000000e+01, 1.000000e+04, -7.255678
3.000000, 80.000000, 1.000000e+03, 1.250000e+01, 1.000000e+04, -7.548667
3.000000, 60.000000, 1.000000e+03, 1.666667e+01, 1.000000e+04, -7.887565
3.000000, 40.000000, 1.000000e+03, 2.500000e+01, 1.000000e+04, -8.499909
3.000000, 20.000000, 1.000000e+03, 5.000000e+01, 1.000000e+04, -9.525974
3.000000, 10.000000, 1.000000e+03, 1.000000e+02, 1.000000e+04, -10.581532
3.000000, 5.000000, 1.000000e+03, 2.000000e+02, 1.000000e+04, -10.706084
3.000000, 500.000000, 1.000000e+04, 2.000000e+01, 1.000000e+04, -5.739540
3.000000, 250.000000, 1.000000e+04, 4.000000e+01, 1.000000e+04, -6.160129
3.000000, 150.000000, 1.000000e+04, 6.666667e+01, 1.000000e+04, -6.577546
3.000000, 100.000000, 1.000000e+04, 1.000000e+02, 1.000000e+04, -7.231652
3.000000, 80.000000, 1.000000e+04, 1.250000e+02, 1.000000e+04, -7.457944
3.000000, 60.000000, 1.000000e+04, 1.666667e+02, 1.000000e+04, -7.934820
3.000000, 40.000000, 1.000000e+04, 2.500000e+02, 1.000000e+04, -8.277000
3.000000, 20.000000, 1.000000e+04, 5.000000e+02, 1.000000e+04, -9.448994
3.000000, 10.000000, 1.000000e+04, 1.000000e+03, 1.000000e+04, -10.320780
3.000000, 5.000000, 1.000000e+04, 2.000000e+03, 1.000000e+04, -10.687686
3.000000, 500.000000, 1.000000e+05, 2.000000e+02, 1.000000e+04, -5.783740
3.000000, 250.000000, 1.000000e+05, 4.000000e+02, 1.000000e+04, -6.071833
3.000000, 150.000000, 1.000000e+05, 6.666667e+02, 1.000000e+04, -6.565302
3.000000, 100.000000, 1.000000e+05, 1.000000e+03, 1.000000e+04, -7.191777
3.000000, 80.000000, 1.000000e+05, 1.250000e+03, 1.000000e+04, -7.404517
3.000000, 60.000000, 1.000000e+05, 1.666667e+03, 1.000000e+04, -7.757079
3.000000, 40.000000, 1.000000e+05, 2.500000e+03, 1.000000e+04, -8.339827
3.000000, 20.000000, 1.000000e+05, 5.000000e+03, 1.000000e+04, -9.443747
3.000000, 10.000000, 1.000000e+05, 1.000000e+04, 1.000000e+04, -10.476502
3.000000, 5.000000, 1.000000e+05, 2.000000e+04, 1.000000e+04, -10.927731
3.000000, 500.000000, 1.000000e+00, 2.000000e-03, 1.000000e+05, -6.661270
3.000000, 250.000000, 1.000000e+00, 4.000000e-03, 1.000000e+05, -6.587385
3.000000, 150.000000, 1.000000e+00, 6.666667e-03, 1.000000e+05, -6.592077
3.000000, 100.000000, 1.000000e+00, 1.000000e-02, 1.000000e+05, -6.602606
3.000000, 80.000000, 1.000000e+00, 1.250000e-02, 1.000000e+05, -6.537500
3.000000, 60.000000, 1.000000e+00, 1.666667e-02, 1.000000e+05, -6.571908
3.000000, 40.000000, 1.000000e+00, 2.500000e-02, 1.000000e+05, -6.767238
3.000000, 20.000000, 1.000000e+00, 5.000000e-02, 1.000000e+05, -7.549323
3.000000, 10.000000, 1.000000e+00, 1.000000e-01, 1.000000e+05, -9.140729
3.000000, 5.000000, 1.000000e+00, 2.000000e-01, 1.000000e+05, -9.656788
